operator_id,pseudonym,team,role_family,level,pattern_demo,primary_platform,synthetic,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,usage_tokens_demo,total_token_flow_demo,leverage,yield,token_snr,construction,output_input_ratio_internal,usage_percentile_demo,yield_percentile_demo,leverage_percentile_demo,usage_yield_divergence_pp,divergence_class
op_001,Operator 001,Product Engineering,Software Engineering,Associate,balanced_operator,claude,True,229646,116697,2713859,5003096,346343,8063298,11.8176,6.0052,0.3369,1.8435,0.5082,51.0,49.0,38.8,-2.0,MIXED
op_002,Operator 002,Product Engineering,Software Engineering,Mid,context_compounder,codex,True,173093,66447,4138685,11289722,239540,15667947,23.9102,9.1786,0.2774,2.7279,0.3839,18.4,71.4,77.6,53.1,LOW_USAGE_HIGH_OPERATION
op_003,Operator 003,Product Engineering,Software Engineering,Senior,efficient_minimalist,claude,True,84895,56201,1468024,2227799,141096,3836919,17.2922,11.4476,0.3983,1.5175,0.662,0.0,77.6,63.3,77.6,LOW_USAGE_HIGH_OPERATION
op_004,Operator 004,Product Engineering,Software Engineering,Senior,context_compounder,claude,True,168524,64301,4030413,11277649,232825,15540887,23.916,9.1252,0.2762,2.7981,0.3816,12.2,67.3,79.6,55.1,MIXED
op_005,Operator 005,Product Engineering,Software Engineering,Associate,high_volume_burner,claude,True,936260,182951,3319034,2737587,1119211,7175832,3.545,0.6927,0.1635,0.8248,0.1954,98.0,6.1,10.2,-91.8,HIGH_USAGE_LOW_OPERATION
op_006,Operator 006,Product Engineering,Software Engineering,Associate,balanced_operator,codex,True,173403,87507,2139907,4086574,260910,6487391,12.3407,6.2277,0.3354,1.9097,0.5046,24.5,57.1,57.1,32.7,MIXED
op_007,Operator 007,Product Engineering,Software Engineering,Mid,efficient_minimalist,codex,True,100192,65655,1766707,2596066,165847,4528620,17.6332,11.5549,0.3959,1.4694,0.6553,6.1,79.6,65.3,73.5,LOW_USAGE_HIGH_OPERATION
op_008,Operator 008,Product Engineering,Software Engineering,Mid,balanced_operator,claude,True,262002,131337,3123240,5356841,393339,8873420,11.9207,5.9756,0.3339,1.7152,0.5013,61.2,44.9,40.8,-16.3,MIXED
op_009,Operator 009,Product Engineering,Software Engineering,Associate,improving_operator,chatgpt,True,206528,93265,2380650,2899685,299793,5580128,11.527,5.2054,0.3111,1.218,0.4516,28.6,12.2,34.7,-16.3,LOW_LOW
op_010,Operator 010,Product Engineering,Software Engineering,Staff,volatile_switcher,chatgpt,True,383947,210553,3917868,6799847,594500,11312215,10.2042,5.5959,0.3542,1.7356,0.5484,83.7,30.6,30.6,-53.1,HIGH_USAGE_LOW_OPERATION
op_011,Operator 011,Product Engineering,Software Engineering,Associate,recursive_builder,codex,True,200220,109044,5867755,22826523,309264,29003542,29.3065,15.961,0.3526,3.8902,0.5446,32.7,91.8,89.8,59.2,LOW_USAGE_HIGH_OPERATION
op_012,Operator 012,Product Engineering,Software Engineering,Senior,volatile_switcher,claude,True,351803,190304,3480232,6342928,542107,10365267,9.8926,5.3513,0.351,1.8226,0.5409,75.5,16.3,26.5,-59.2,HIGH_USAGE_LOW_OPERATION
op_013,Operator 013,Product Engineering,Software Engineering,Mid,high_volume_burner,chatgpt,True,813800,162869,2686399,2123773,976669,5786841,3.3011,0.6607,0.1668,0.7906,0.2001,91.8,0.0,0.0,-91.8,HIGH_USAGE_LOW_OPERATION
op_014,Operator 014,Product Engineering,Software Engineering,Associate,balanced_operator,codex,True,221786,112762,2704106,4965464,334548,8004118,12.1924,6.199,0.3371,1.8363,0.5084,42.9,55.1,53.1,12.2,MIXED
op_015,Operator 015,Product Engineering,Software Engineering,Staff,balanced_operator,claude,True,234449,115236,2857982,4947521,349685,8155188,12.1902,5.9917,0.3295,1.7311,0.4915,53.1,46.9,51.0,-6.1,MIXED
op_016,Operator 016,Product Engineering,Software Engineering,Associate,efficient_minimalist,codex,True,90877,59679,1650555,2577255,150556,4378366,18.1625,11.9273,0.3964,1.5614,0.6567,4.1,83.7,69.4,79.6,LOW_USAGE_HIGH_OPERATION
op_017,Operator 017,Product Engineering,Software Engineering,Staff,context_compounder,codex,True,180870,68145,4358780,11968165,249015,16575960,24.099,9.0796,0.2737,2.7458,0.3768,22.4,65.3,83.7,42.9,MIXED
