operator_id,intervention_id,baseline_leverage,followup_leverage,baseline_yield,followup_yield,external_cycle_time_change_pct,external_quality_change_pct,synthetic
op_047,int_001,12.1638,12.0097,6.6733,8.008,4.7,1.7,True
op_004,int_002,23.916,26.7784,9.1252,9.3077,9.7,3.4,True
op_030,int_003,12.0565,12.3757,6.0874,9.4355,6.2,1.3,True
op_045,int_004,23.5146,25.3094,9.1598,14.1977,-15.4,4.8,True
op_031,int_005,5.1125,4.1922,5.7308,6.697,5.8,4.2,True
op_038,int_006,29.4947,31.8067,16.1576,13.2492,4.0,-1.4,True
op_010,int_007,10.2042,15.8165,5.5959,5.9333,0.8,4.6,True
op_026,int_008,3.5071,5.436,0.7139,0.8157,7.1,4.0,True
op_025,int_009,23.3678,23.9575,8.7342,8.9089,-1.3,1.5,True
op_020,int_010,3.4878,2.86,0.7062,0.8422,-2.1,1.0,True
op_029,int_011,11.6618,12.5025,5.9182,9.1732,-3.3,-1.3,True
op_005,int_012,3.545,4.254,0.6927,0.7874,-13.3,2.1,True
