operator_id,workflow_id,stage_id,observations,provisional_fit_demo,status,synthetic
op_001,software_dev_v1,implementation,7,0.744,SYNTHETIC_PROVISIONAL,True
op_001,software_dev_v1,testing,11,0.903,SYNTHETIC_PROVISIONAL,True
op_001,software_dev_v1,architecture,14,0.744,SYNTHETIC_PROVISIONAL,True
op_002,software_dev_v1,release,4,0.586,SYNTHETIC_PROVISIONAL,True
op_002,software_dev_v1,review,5,0.903,SYNTHETIC_PROVISIONAL,True
op_002,software_dev_v1,requirements,5,0.5,SYNTHETIC_PROVISIONAL,True
op_002,software_dev_v1,testing,16,0.588,SYNTHETIC_PROVISIONAL,True
op_003,software_dev_v1,testing,5,0.842,SYNTHETIC_PROVISIONAL,True
op_003,software_dev_v1,review,15,0.749,SYNTHETIC_PROVISIONAL,True
op_003,software_dev_v1,implementation,16,0.747,SYNTHETIC_PROVISIONAL,True
op_003,software_dev_v1,release,14,0.605,SYNTHETIC_PROVISIONAL,True
op_003,software_dev_v1,architecture,10,0.536,SYNTHETIC_PROVISIONAL,True
op_004,software_dev_v1,review,10,0.813,SYNTHETIC_PROVISIONAL,True
op_004,software_dev_v1,implementation,8,0.917,SYNTHETIC_PROVISIONAL,True
op_004,software_dev_v1,discovery,7,0.543,SYNTHETIC_PROVISIONAL,True
op_004,software_dev_v1,architecture,6,0.738,SYNTHETIC_PROVISIONAL,True
op_004,software_dev_v1,requirements,10,0.492,SYNTHETIC_PROVISIONAL,True
op_005,software_dev_v1,architecture,12,0.683,SYNTHETIC_PROVISIONAL,True
op_005,software_dev_v1,requirements,11,0.709,SYNTHETIC_PROVISIONAL,True
op_005,software_dev_v1,implementation,5,0.364,SYNTHETIC_PROVISIONAL,True
op_006,software_dev_v1,architecture,12,0.747,SYNTHETIC_PROVISIONAL,True
op_006,software_dev_v1,release,12,0.806,SYNTHETIC_PROVISIONAL,True
op_006,software_dev_v1,review,12,0.84,SYNTHETIC_PROVISIONAL,True
op_006,software_dev_v1,requirements,7,0.494,SYNTHETIC_PROVISIONAL,True
op_006,software_dev_v1,discovery,9,0.795,SYNTHETIC_PROVISIONAL,True
op_006,software_dev_v1,implementation,4,0.816,SYNTHETIC_PROVISIONAL,True
op_007,software_dev_v1,architecture,12,0.526,SYNTHETIC_PROVISIONAL,True
op_007,software_dev_v1,review,13,0.735,SYNTHETIC_PROVISIONAL,True
op_007,software_dev_v1,requirements,15,0.604,SYNTHETIC_PROVISIONAL,True
op_008,software_dev_v1,discovery,7,0.821,SYNTHETIC_PROVISIONAL,True
op_008,software_dev_v1,architecture,17,0.664,SYNTHETIC_PROVISIONAL,True
op_008,software_dev_v1,requirements,5,0.568,SYNTHETIC_PROVISIONAL,True
op_008,software_dev_v1,release,15,0.696,SYNTHETIC_PROVISIONAL,True
op_009,software_dev_v1,implementation,7,0.742,SYNTHETIC_PROVISIONAL,True
op_009,software_dev_v1,release,10,0.669,SYNTHETIC_PROVISIONAL,True
op_009,software_dev_v1,testing,10,0.707,SYNTHETIC_PROVISIONAL,True
op_009,software_dev_v1,requirements,12,0.768,SYNTHETIC_PROVISIONAL,True
op_009,software_dev_v1,discovery,16,0.712,SYNTHETIC_PROVISIONAL,True
op_009,software_dev_v1,architecture,6,0.518,SYNTHETIC_PROVISIONAL,True
op_010,software_dev_v1,release,7,0.626,SYNTHETIC_PROVISIONAL,True
op_010,software_dev_v1,implementation,6,0.702,SYNTHETIC_PROVISIONAL,True
op_010,software_dev_v1,review,10,0.551,SYNTHETIC_PROVISIONAL,True
op_010,software_dev_v1,architecture,9,0.643,SYNTHETIC_PROVISIONAL,True
op_011,software_dev_v1,release,8,0.896,SYNTHETIC_PROVISIONAL,True
op_011,software_dev_v1,discovery,14,0.538,SYNTHETIC_PROVISIONAL,True
op_011,software_dev_v1,testing,9,0.546,SYNTHETIC_PROVISIONAL,True
op_012,software_dev_v1,requirements,15,0.571,SYNTHETIC_PROVISIONAL,True
